id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
124,179.000 ₫,0,30,98,4.4,618,1,4.7
125,50.000 ₫,0,111,458,4.5,628,3,4.6
126,181.000 ₫,-7%,7,19,4.8,21708,5,4.9
127,250.000 ₫,0,23,143,4.2,37,2,4.3
128,350.000 ₫,0,29,88,4.5,1843,1,4.7
129,165.000 ₫,0,50,122,4.4,618,1,4.5
130,119.000 ₫,0,2,2,2.8,33,1,3.0
131,25.960 ₫,0,2,69,4.4,273,0,4.5
132,98.500 ₫,0,7,19,2.8,33,1,3.1
133,189.000 ₫,0,23,72,4.5,1843,1,4.5
134,60.000 ₫,0,95,524,4.5,8,2,4.4
135,18.000 ₫,0,32,191,4.3,146,0,4.4
136,59.999 ₫,0,0,2,4.4,4,1,0.0
137,173.000 ₫,0,13,41,4.2,82,2,4.4
138,250.000 ₫,0,6,20,5.0,19,1,4.8
139,279.000 ₫,-44%,30,114,4.3,237,4,4.3
140,299.000 ₫,0,97,289,4.2,87,2,4.4
141,65.550 ₫,-8%,88,820,4.3,244,2,4.1
142,35.000 ₫,-50%,2,11,4.5,2457,2,5.0
143,24.900 ₫,-45%,18,100,4.6,441,3,0.0
144,198.888 ₫,0,10,33,4.3,152,2,4.7
145,65.000 ₫,-50%,177,552,4.7,331,2,4.7
146,59.000 ₫,0,33,258,4.2,439,1,3.9
147,6.000 ₫,0,24,134,4.5,317,1,4.4
148,1.794.000 ₫,-40%,12,60,4.5,8294,6,4.6
149,1.900.000 ₫,0,1,1,4.7,5939,2,1.0
150,169.000 ₫,0,10,19,4.4,91,2,4.9
151,79.000 ₫,0,140,577,4.7,20,1,4.6
152,1.794.000 ₫,-40%,16,45,4.5,8294,6,4.8
153,39.000 ₫,0,12,48,4.4,9,0,4.8
154,31.000 ₫,0,4,26,3.9,248,1,3.5
155,339.000 ₫,0,18,72,4.8,90,2,4.7
156,297.000 ₫,-41%,8,30,4.3,237,4,4.6
157,254.250 ₫,-25%,1,1,3.7,23,2,5.0
158,2.999 ₫,0,2,5,4.8,166,2,0.0
159,239.000 ₫,0,5,21,4.4,15,1,4.8
160,489.300 ₫,-30%,2,8,4.8,18,1,4.5
