id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1345,99.000 ₫,0,1,6,4.7,2662,5,5.0
1346,24.900 ₫,0,1,14,3.5,46,1,5.0
1347,94.000 ₫,0,59,138,4.3,1331,3,0.0
1348,180.000 ₫,-40%,10,17,4.6,1740,4,0.0
1349,550.000 ₫,0,1,1,5.0,14,1,5.0
1350,140.000 ₫,-15%,9,18,4.6,95,1,4.4
1351,138.000 ₫,0,1,3,4.8,13,1,5.0
1352,95.000 ₫,-10%,5,17,4.2,213,5,5.0
1353,320.000 ₫,0,1,1,4.5,132,1,0.0
1354,199.000 ₫,-20%,15,27,4.2,828,1,4.4
1355,196.000 ₫,0,3,6,4.6,2252,1,0.0
1356,147.000 ₫,0,1,6,4.5,12,1,5.0
1357,99.000 ₫,0,1,1,4.7,2662,5,4.0
